adduser                                 3.118
apt                                     2.2.4
base-files                              11.1+deb11u7
base-passwd                             3.5.51
bash                                    5.1-2+deb11u1
bsdutils                                1:2.36.1-8+deb11u1
ca-certificates                         20210119
coreutils                               8.32-4+b1
curl                                    7.74.0-1.3+deb11u7
dash                                    0.5.11+git20200708+dd9ef66-5
debconf                                 1.5.77
debian-archive-keyring                  2021.1.1+deb11u1
debianutils                             4.11.2
diffutils                               1:3.7-5
dirmngr                                 2.2.27-2+deb11u2
dpkg                                    1.20.12
e2fsprogs                               1.46.2-2
file                                    1:5.39-3
findutils                               4.8.0-1
fontconfig                              2.13.1-4.2
fontconfig-config                       2.13.1-4.2
fonts-liberation                        1:1.07.4-11
fonts-urw-base35                        20200910-1
gcc-10-base                             10.2.1-6
gcc-9-base                              9.3.0-22
gettext                                 0.21-4
gettext-base                            0.21-4
ghostscript                             9.53.3~dfsg-7+deb11u4
gnupg                                   2.2.27-2+deb11u2
gnupg-l10n                              2.2.27-2+deb11u2
gnupg-utils                             2.2.27-2+deb11u2
gosu                                    1.12-1+b6
gpg                                     2.2.27-2+deb11u2
gpg-agent                               2.2.27-2+deb11u2
gpg-wks-client                          2.2.27-2+deb11u2
gpg-wks-server                          2.2.27-2+deb11u2
gpgconf                                 2.2.27-2+deb11u2
gpgsm                                   2.2.27-2+deb11u2
gpgv                                    2.2.27-2+deb11u2
grep                                    3.6-1+deb11u1
gzip                                    1.10-4+deb11u1
hicolor-icon-theme                      0.17-2
hostname                                3.23
icc-profiles-free                       2.0.1+dfsg-1.1
imagemagick                             8:6.9.11.60+dfsg-1.3+deb11u1
imagemagick-6-common                    8:6.9.11.60+dfsg-1.3+deb11u1
imagemagick-6.q16                       8:6.9.11.60+dfsg-1.3+deb11u1
init-system-helpers                     1.60
jbig2dec                                0.19-2
libacl1                                 2.2.53-10
libaom0                                 1.0.0.errata1-3
libapt-pkg6.0                           2.2.4
libarchive13                            3.4.3-2+deb11u1
libassuan0                              2.5.3-7.1
libatlas3-base                          3.10.3-10
libatomic1                              10.2.1-6
libattr1                                1:2.4.48-6
libaudit-common                         1:3.0-2
libaudit1                               1:3.0-2
libavahi-client3                        0.8-5+deb11u2
libavahi-common-data                    0.8-5+deb11u2
libavahi-common3                        0.8-5+deb11u2
libavcodec58                            7:4.3.6-0+deb11u1
libavformat58                           7:4.3.6-0+deb11u1
libavutil56                             7:4.3.6-0+deb11u1
libblkid1                               2.36.1-8+deb11u1
libbluray2                              1:1.2.1-4+deb11u2
libbrotli1                              1.0.9-2+b2
libbsd0                                 0.11.3-1
libbz2-1.0                              1.0.8-4
libc-bin                                2.31-13+deb11u6
libc6                                   2.31-13+deb11u6
libcairo-gobject2                       1.16.0-5
libcairo2                               1.16.0-5
libcap-ng0                              0.7.9-2.2+b1
libchromaprint1                         1.5.0-2
libcodec2-0.9                           0.9.2-4
libcom-err2                             1.46.2-2
libconfig-inifiles-perl                 3.000003-1
libcrypt1                               1:4.4.18-4
libcups2                                2.3.3op2-3+deb11u2
libcurl4                                7.74.0-1.3+deb11u7
libdatrie1                              0.2.13-1
libdav1d4                               0.7.1-3
libdb5.3                                5.3.28+dfsg1-0.8
libdbus-1-3                             1.12.24-0+deb11u1
libde265-0                              1.0.11-0+deb11u1
libdebconfclient0                       0.260
libdeflate0                             1.7-1
libdrm-common                           2.4.104-1
libdrm2                                 2.4.104-1
libedit2                                3.1-20191231-2+b1
libexpat1                               2.2.10-2+deb11u5
libext2fs2                              1.46.2-2
libffi7                                 3.3-6
libfftw3-double3                        3.3.8-2
libfontconfig1                          2.13.1-4.2
libfreetype6                            2.10.4+dfsg-1+deb11u1
libfribidi0                             1.0.8-2+deb11u1
libgcc-s1                               10.2.1-6
libgcrypt20                             1.8.7-6
libgdbm-compat4                         1.19-2
libgdbm6                                1.19-2
libgdk-pixbuf-2.0-0                     2.42.2+dfsg-1+deb11u1
libgdk-pixbuf2.0-common                 2.42.2+dfsg-1+deb11u1
libgfortran5                            10.2.1-6
libgif7                                 5.1.9-2
libglib2.0-0                            2.66.8-1
libgme0                                 0.6.3-2
libgmp10                                2:6.2.1+dfsg-1+deb11u1
libgnutls30                             3.7.1-5+deb11u3
libgomp1                                10.2.1-6
libgpg-error0                           1.38-2
libgraphite2-3                          1.3.14-1
libgs9                                  9.53.3~dfsg-7+deb11u4
libgs9-common                           9.53.3~dfsg-7+deb11u4
libgsm1                                 1.0.18-2
libgssapi-krb5-2                        1.18.3-6+deb11u3
libharfbuzz0b                           2.7.4-1
libheif1                                1.11.0-1
libhogweed6                             3.7.3-1
libicu67                                67.1-7
libidn11                                1.33-3
libidn2-0                               2.3.0-5
libijs-0.35                             0.35-15
libimagequant0                          2.12.2-1.1
libjbig0                                2.1-3.1+b2
libjbig2dec0                            0.19-2
libjpeg62-turbo                         1:2.0.6-4
libk5crypto3                            1.18.3-6+deb11u3
libkeyutils1                            1.6.1-2
libkrb5-3                               1.18.3-6+deb11u3
libkrb5support0                         1.18.3-6+deb11u3
libksba8                                1.5.0-3+deb11u2
liblcms2-2                              2.12~rc1-2
libldap-2.4-2                           2.4.57+dfsg-3+deb11u1
liblept5                                1.79.0-1.1+deb11u1
liblqr-1-0                              0.4.2-2.1
libltdl7                                2.4.6-15
liblz4-1                                1.9.3-2
liblzma5                                5.2.5-2.1~deb11u1
libmagic-mgc                            1:5.39-3
libmagic1                               1:5.39-3
libmagickcore-6.q16-6                   8:6.9.11.60+dfsg-1.3+deb11u1
libmagickwand-6.q16-6                   8:6.9.11.60+dfsg-1.3+deb11u1
libmariadb3                             1:10.5.19-0+deb11u2
libmd0                                  1.0.3-3
libmfx1                                 21.1.0-1
libmount1                               2.36.1-8+deb11u1
libmp3lame0                             3.100-3
libmpg123-0                             1.26.4-1
libncurses6                             6.2+20201114-2+deb11u1
libncursesw6                            6.2+20201114-2+deb11u1
libnettle8                              3.7.3-1
libnghttp2-14                           1.43.0-1
libnorm1                                1.5.9+dfsg-2
libnpth0                                1.6-3
libnsl2                                 1.3.0-2
libnspr4                                2:4.29-1
libnss3                                 2:3.61-1+deb11u3
libnuma1                                2.0.12-1+b1
libogg0                                 1.3.4-0.1
libopenjp2-7                            2.4.0-3
libopenmpt0                             0.4.11-1
libopus0                                1.3.1-0.1
libp11-kit0                             0.23.22-1
libpam-modules                          1.4.0-9+deb11u1
libpam-modules-bin                      1.4.0-9+deb11u1
libpam-runtime                          1.4.0-9+deb11u1
libpam0g                                1.4.0-9+deb11u1
libpango-1.0-0                          1.46.2-3
libpangocairo-1.0-0                     1.46.2-3
libpangoft2-1.0-0                       1.46.2-3
